,Date,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Continent,Weapon Type,Fight Ended,Mortality
969,1857.0,Thrust,Torso,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
970,1857.0,Cut,Torso,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
971,1857.0,Cut,Head,Death,,Foot,Asia,Sword_cutting,True,True
972,1840.0,Cut,Torso,Death,,Foot,Asia,Sword_cutting,True,True
973,1610.0,Thrust,Head,Ineffective,Ineffective,Foot,Europe,Sword_2h,False,False
974,1610.0,Thrust,Head,Ineffective,Ineffective,Foot,Europe,Dagger,False,False
975,1610.0,Thrust,Torso,Ineffective,Incapacitation,Foot,Europe,Sword_2h,False,False
976,1610.0,Thrust,Torso,Ineffective,Incapacitation,Foot,Europe,Dagger,False,False
977,1611.0,Cut,Arm,Ineffective,Ineffective,Foot,Europe,Sword_2h,False,False
978,1611.0,Thrust,Torso,Incapacitation,Ineffective,Foot,Europe,Sword_2h,True,False
979,1611.0,Thrust,Torso,Ineffective,Ineffective,Foot,Europe,Dagger,False,False
980,1611.0,Cut,unspecified,Ineffective,Ineffective,Foot,Europe,Sword_2h,False,False
981,1611.0,Strike,unspecified,Incapacitation,Incapacitation,Foot,Europe,Sword_2h,True,False
982,1613.0,Thrust,Arm,Ineffective,Ineffective,Foot,Europe,Sword_2h,False,False
983,1613.0,unspecified,Hand,Ineffective,Ineffective,Foot,Europe,Sword_2h,False,False
984,1613.0,Thrust,Torso,Ineffective,Ineffective,Foot,Europe,Sword_2h,False,False
985,1613.0,Thrust,Torso,Incapacitation,Death,Foot,Europe,Sword_2h,True,True
986,1613.0,Thrust,Torso,Incapacitation,Death,Foot,Europe,Sword_2h,True,True
987,1640.0,Strike,Head,Incapacitation,Incapacitation,Foot,Europe,Sword_2h,True,False
988,1773.0,Cut,Arm,Incapacitation,Incapacitation,Foot,Africa,Sword_2h,True,False
989,1773.0,Cut,Hand,Ineffective,Ineffective,Foot,Africa,Sword_2h,False,False
990,1773.0,Cut,Head,Ineffective,Ineffective,Foot,Africa,Sword_2h,False,False
991,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
992,1854.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
993,1854.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
994,1854.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
995,1854.0,Thrust,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
996,1854.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
997,1854.0,Cut,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
998,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
999,1854.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1000,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1001,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1002,1854.0,Thrust,Head,Ineffective,Ineffective,Horse,Europe,Polearm,False,False
1003,1854.0,Cut,Arm,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
1004,1779.0,Thrust,Torso,Incapacitation,Incapacitation,Foot,North America,Sword_cutting,True,False
1005,1779.0,unspecified,unspecified,Incapacitation,Incapacitation,Foot,North America,Sword_cutting,True,False
1006,1854.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1007,1880.0,Thrust,Torso,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
1008,1880.0,Thrust,Torso,unspecified,unspecified,Foot,Asia,Sword_cutting,False,False
1009,1880.0,Cut,Various,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
1010,1880.0,Thrust,Torso,Ineffective,Ineffective,Foot,Africa,Sword_cutting,False,False
1011,1915.0,Thrust,Torso,Incapacitation,Death,Horse,Asia,Sword_cutting,True,True
1012,1854.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Polearm,False,False
1013,1850.0,Thrust,Torso,Ineffective,Ineffective,Horse,Asia,Sword_cutting,False,False
1014,1850.0,Thrust,Torso,Ineffective,Ineffective,Horse,Asia,Sword_cutting,False,False
1015,1850.0,Thrust,Torso,Ineffective,Ineffective,Horse,Asia,Sword_cutting,False,False
1016,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1017,,Cut,Head,Ineffective,Ineffective,unspecified,Asia,Sword_cutting,False,False
1018,1854.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
1019,1854.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
1020,1854.0,Cut,unspecified,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1021,1854.0,Cut,unspecified,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1022,1854.0,Cut,unspecified,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1023,1854.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
1024,1854.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1025,1854.0,Cut,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1026,1854.0,Strike,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1027,1854.0,Thrust,Torso,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
1028,1854.0,Cut,unspecified,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1029,1854.0,Thrust,unspecified,Incapacitation,Incapacitation,Foot vs Horse,Europe,Sword_cutting,True,False
1030,1854.0,Thrust,unspecified,Incapacitation,Incapacitation,Foot vs Horse,Europe,Sword_cutting,True,False
1031,1854.0,Thrust,unspecified,Incapacitation,Incapacitation,Foot vs Horse,Europe,Sword_cutting,True,False
1032,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1033,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1034,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1035,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1036,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1037,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1038,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1039,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1040,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1041,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1042,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1043,1854.0,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Europe,Sword_cutting,False,False
1044,1854.0,Thrust,Head,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
1045,1854.0,Cut,Head,Incapacitation,Ineffective,Horse,Europe,Sword_cutting,True,False
1046,1854.0,Thrust,Arm,Ineffective,Ineffective,Horse,Europe,Sword_cutting,False,False
1047,1854.0,Cut,Head,Death,,Horse,Europe,Sword_cutting,True,True
1048,1854.0,Thrust,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
1049,1854.0,Thrust,Head,Incapacitation,Incapacitation,Horse,Europe,Sword_cutting,True,False
